year,state,district,proportion_black,black_candidate,black_turnout
2006,NY,4,18.3715877,0,32.6435912
2006,NY,5,5.4699863,0,26.6719509
2006,NY,6,56.5762775,1,28.7641503
2006,NY,7,18.7934476,0,31.4131305
2006,NY,8,5.457834,0,26.3277189
2006,NY,9,3.9935361,0,27.2334462
2006,NY,10,62.8288259,1,27.5976175
2006,NY,11,54.4046682,1,28.8370193
2006,NY,12,12.1084172,0,18.7262167
2006,NY,13,6.5114247,0,23.1750249
2006,NY,14,4.4676613,0,31.4849256
2006,NY,15,35.9696852,1,29.0636325
2006,NY,16,35.6787116,0,22.9877135
2006,NY,17,30.2182179,1,30.794886
2006,NY,18,10.4827082,0,32.1144212
2006,NY,19,5.7871203,0,25.7440006
2006,NY,20,2.5362584,0,17.4994313
2006,NY,21,7.3094057,0,31.6193483
2006,NY,22,7.6170634,0,24.0633357
2006,NY,23,2.6856765,0,10.9252984
2006,NY,24,3.7374589,0,14.4167689
2006,NY,25,6.5994927,0,32.9341503
2006,NY,26,3.2351537,0,19.3769735
2006,NY,27,4.7627683,0,24.0754519
2006,NY,28,26.4859348,0,29.6862256
2006,NY,29,2.642601,0,28.8151151
2006,OH,0,10.8273379,0,39.4297688
2006,OH,1,26.282888,0,40.4003843
2006,OH,2,4.4749581,0,39.5246519
2006,OH,3,16.1116635,0,40.0583235
2006,OH,4,4.8380588,0,24.158304
2006,OH,5,1.2806145,0,25.9714381
2006,OH,6,2.4979374,0,22.586476
2006,OH,7,8.2815827,0,39.5141166
2006,OH,8,4.8271931,0,32.1124946
2006,OH,9,13.2377789,0,36.1883292
2006,OH,10,5.5916308,0,40.8849487
2006,OH,11,57.0137483,1,43.0160415
2006,OH,12,19.7062177,0,45.2781732
2006,OH,13,11.396628,0,38.0072451
2006,OH,14,3.3369978,0,30.4922943
2006,OH,15,8.0276602,0,35.6635423
2006,OH,16,4.4325826,0,30.5476313
2006,OH,17,11.0785999,0,36.3963059
2006,OH,18,1.6976813,0,23.3131802
2006,OK,1,8.7719298,0,26.8971731
2006,OK,2,3.7850755,0,51.6868896
2006,OK,3,3.7457075,0,37.1055214
2006,OK,4,5.6180459,0,37.4356543
2006,OK,5,12.8163611,0,34.5940887
2006,OR,1,1.1452378,0,59.6086302
2006,OR,3,4.7307229,0,58.6447604
2006,PA,0,9.3469378,0,36.3522659
2006,PA,1,48.4888067,0,41.6453628
2006,PA,2,59.3068729,1,50.3194026
2006,PA,3,3.4469424,0,17.8141238
2006,PA,4,3.3189137,0,24.4546498
2006,PA,5,1.8532016,0,11.7152172
2006,PA,6,7.2866905,0,24.0074956
2006,PA,7,7.5600097,0,27.0477631
2006,PA,8,3.1592622,0,34.0862291
2006,PA,9,1.8343545,0,13.5494155
2006,PA,10,2.2412896,0,13.8080113
2006,PA,11,4.2018554,0,9.0191094
2006,PA,12,3.6304386,0,16.0716297
2006,PA,13,8.6281708,0,32.5832127
2006,PA,14,21.3940362,0,34.2589529
2006,PA,15,3.2552599,0,18.4747964
2006,PA,16,4.0791239,0,20.0803616
2006,PA,17,6.42945,0,28.9258494
2006,PA,18,2.442026,0,23.3403327
2006,PA,19,3.5456477,0,13.5762624
2006,RI,0,3.617726,0,39.1755194
